iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,,,
OWID_OCE,,Oceania,2022/6/15,9303433,38429,31751.571,13241,85,52.857,215257.818,889.149,734.651,306.363,1.967,1.223,,,,,,,,,,,,,,,,,,,73611853,28954066,27702524,16954978,,,170.32,66.99,64.1,39.23,,,,,43219954,,,,,,,,,,,,,,,,,,,,,
OMN,Asia,Oman,2022/6/15,389758,0,0,4260,0,0,74618.025,0,0,815.564,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5223376,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,,,,,,,
PAK,Asia,Pakistan,2022/6/15,1531581,144,87.714,30382,1,0.429,6800.983,0.639,0.389,134.911,0.004,0.002,,,,,,,,,,,,,,,,,,,256546646,135926474,124342276,13640464,747155,723030,113.92,60.36,55.21,6.06,3211,74363,0.033,,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,,,
PLW,Oceania,Palau,2022/6/15,5165,0,5.571,6,0,0,284197.205,0,306.56,330.142,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18174,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,,,,,,,
PSE,Asia,Palestine,2022/6/15,658100,221,31.571,5660,0,0,126006.269,42.315,6.045,1083.719,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5222756,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,,,,,,
PAN,North America,Panama,2022/6/15,896924,2080,2095.857,8314,2,4.286,204703.186,474.714,478.333,1897.488,0.456,0.978,,,,,,,,,,,,,,,,,,,8320768,3481249,3110890,1728629,,5825,189.9,79.45,71,39.45,1329,273,0.006,,4381583,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,,,,
PNG,Oceania,Papua New Guinea,2022/6/15,44675,0,4.571,658,0,0.143,4899.109,0,0.501,72.157,0,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9119005,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,,,,,,,
PRY,South America,Paraguay,2022/6/15,652044,,,18932,,,90315.294,,,2622.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7219641,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,,,,,,,
PER,South America,Peru,2022/6/15,3592765,,,213343,0,7.714,107698.681,,,6395.286,0,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,,,
PHL,Asia,Philippines,2022/6/15,3694121,256,291,60461,0,0.714,33266.311,2.305,2.621,544.464,0,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111046910,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,,,,,,,
POL,Europe,Poland,2022/6/15,6010643,232,205.429,116387,7,3.571,159024.341,6.138,5.435,3079.266,0.185,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37797000,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,,,,,,
PRT,Europe,Portugal,2022/6/15,5005783,20041,15828.714,23746,39,36.857,492311.262,1971.002,1556.73,2335.384,3.836,3.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,,,,,,,
QAT,Asia,Qatar,2022/6/15,373691,513,395.286,677,0,0,127516.785,175.054,134.886,231.017,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2930524,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,,,,,,,
ROU,Europe,Romania,2022/6/15,2912705,,,65714,0,2,152276.23,,,3435.528,0,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19127772,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,,,,,,,
RUS,Europe,Russia,2022/6/15,18116672,2683,3231.143,372515,63,64.714,124161.613,18.388,22.144,2553.011,0.432,0.444,,,,,,,,8491,58.193,,,,,,,,,,,,,,,,,,,,,,,,145912022,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,,,,
RWA,Africa,Rwanda,2022/6/15,130443,30,29,1459,0,0,9825.092,2.26,2.184,109.893,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13276517,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.543,,,,,,,
SHN,Africa,Saint Helena,2022/6/15,4,0,0,,,,656.276,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6095,,,,,,,,,,,,,80.56,,,,,,,,
KNA,North America,Saint Kitts and Nevis,2022/6/15,5873,0,7.429,43,0,0,109681.395,0,138.733,803.048,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53546,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,,,,,,,
LCA,North America,Saint Lucia,2022/6/15,26688,59,62.571,376,0,0.714,144728.065,319.955,339.323,2039.034,0,3.874,,,,,,,,,,,,,,,,,,,121134,59464,54114,7556,,31,65.69,32.25,29.35,4.1,168,13,0.007,,184401,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,,,,,,,
SPM,North America,Saint Pierre and Miquelon,2022/6/15,2765,0,0,1,0,0,479119.737,0,0,173.28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5771,,,,,,,,,,,,,81.07,,,,,,,,
VCT,North America,Saint Vincent and the Grenadines,2022/6/15,8929,13,17.429,109,0,0.143,80246.969,116.834,156.635,979.608,0,1.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111269,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,,,,,,,
WSM,Oceania,Samoa,2022/6/15,14422,,,28,0,0.143,72058.118,,,139.899,0,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200144,69.413,22,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,,,,,,,
SMR,Europe,San Marino,2022/6/15,17376,252,36,115,0,0,510908.556,7409.585,1058.512,3381.358,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34010,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,,,
STP,Africa,Sao Tome and Principe,2022/6/15,6010,0,1,73,0,0,26906.753,0,4.477,326.821,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223364,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,,,,,,,
SAU,Asia,Saudi Arabia,2022/6/15,781168,1033,988.286,9179,3,2.286,22103.932,29.23,27.965,259.729,0.085,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35340680,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,,,,
SEN,Africa,Senegal,2022/6/15,86186,11,6.286,1968,1,0.143,5011.89,0.64,0.366,114.443,0.058,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17196308,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,,,,,
SRB,Europe,Serbia,2022/6/15,2021264,312,262.143,16105,2,1.286,294149.774,45.405,38.149,2343.723,0.291,0.187,,7,1.019,80,11.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,6871547,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,,,
SYC,Africa,Seychelles,2022/6/15,44397,0,28.286,167,0,0,448862.602,0,285.974,1688.404,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,,,,,,,
SLE,Africa,Sierra Leone,2022/6/15,7685,0,0.286,125,0,0,943.947,0,0.035,15.354,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8141343,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,,,,
SGP,Asia,Singapore,2022/6/15,1352681,3906,3350.857,1401,0,1,248034.509,716.224,614.43,256.895,0,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5453600,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,,,,,,
SVK,Europe,Slovakia,2022/6/15,2545409,272,202.286,20119,0,1.714,467110.09,49.915,37.122,3692.054,0,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449270,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,,,,
SVN,Europe,Slovenia,2022/6/15,1029415,472,368.714,6645,0,0.429,495215.091,227.062,177.375,3196.674,0,0.206,,,,,,,,,,,,,,,,,,,2994624,,,,0,51,144.06,,,,25,,,,2078723,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917,,,,,,,
SLB,Oceania,Solomon Islands,2022/6/15,21237,0,0,149,0,0,30166.407,0,0,211.649,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703995,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.567,,,,,,,
SOM,Africa,Somalia,2022/6/15,26675,,,1361,0,0,1630.551,,,83.193,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16359500,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,,,,
ZAF,Africa,South Africa,2022/6/15,3981739,1903,1236.143,101576,26,21.714,66315.9,31.694,20.588,1691.749,0.433,0.362,,,,,,,,,,,,,,,,,,,36522914,21920327,18941548,3346281,38486,29123,60.83,36.51,31.55,5.57,485,11132,0.019,,60041996,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,,,,,,,
OWID_SAM,,South America,2022/6/15,58555494,82966,62824,1301217,360,193,134839.671,191.051,144.669,2996.4,0.829,0.444,,,,,,,,,,,,,,,,,,,878285446,367427052,327844605,196274189,,,202.25,84.61,75.49,45.2,,,,,434260137,,,,,,,,,,,,,,,,,,,,,
KOR,Asia,South Korea,2022/6/15,18256457,7978,8015.857,24497,98,24.857,355840.396,155.501,156.239,477.476,1.91,0.484,,93,1.813,,,,,579,11.285,,,,,,,,,,125795763,45062047,44612789,37637444,15637,15808,245.19,87.83,86.96,73.36,308,340,0.001,,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,,,
SSD,Africa,South Sudan,2022/6/15,17675,16,6.429,138,0,0,1552.976,1.406,0.565,12.125,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11381377,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,,,,,,,
ESP,Europe,Spain,2022/6/15,12515127,,,107239,,,267730.677,,,2294.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46745211,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,,,,
LKA,Asia,Sri Lanka,2022/6/15,663965,0,9.143,16519,0,0.143,30885.963,0,0.425,768.422,0,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497306,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782,,,,,,,
SDN,Africa,Sudan,2022/6/15,62489,14,6.429,4950,0,0,1391.447,0.312,0.143,110.222,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44909351,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,,,,,
SUR,South America,Suriname,2022/6/15,80766,0,13.286,1355,0,0.429,136475.622,0,22.45,2289.633,0,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591798,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,,,,,,,
SWE,Europe,Sweden,2022/6/15,2510930,,,19049,,,247134.912,,,1874.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10160159,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,,,,,,
CHE,Europe,Switzerland,2022/6/15,3701895,,,13817,0,0.571,424748.729,,,1585.338,0,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715494,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,,,,
SYR,Asia,Syria,2022/6/15,55909,1,1.286,3150,0,0,3059.198,0.055,0.07,172.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18275704,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,,,,,,,
TWN,Asia,Taiwan,2022/6/15,3072432,68931,64498.714,4546,143,167.571,128796.1,2889.582,2703.781,190.568,5.995,7.025,,,,,,,,,,,,,,,,,,,56501765,21131243,19133732,16236790,84152,80282,236.85,88.58,80.21,68.06,3365,12207,0.051,,23855008,,42.2,,8.353,,,103.957,,,,,,80.46,,,,,,,,
TJK,Asia,Tajikistan,2022/6/15,17786,0,0,125,0,0,1824.275,0,0,12.821,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,,,,
TZA,Africa,Tanzania,2022/6/15,35354,0,0,840,0,0,574.876,0,0,13.659,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61498438,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,,,,,,
THA,Asia,Thailand,2022/6/15,4492913,2153,2265.857,30403,17,20.143,64229.575,30.779,32.392,434.634,0.243,0.288,,,,,,,,,,,,,,,,,,,137965517,56616779,52695998,28652740,46712,58780,197.23,80.94,75.33,40.96,840,6103,0.009,,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,,,,
TLS,Asia,Timor,2022/6/15,22944,4,2.143,133,0,0,17073.016,2.976,1.595,98.968,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343875,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,,,,,,,
TGO,Africa,Togo,2022/6/15,37220,10,9.429,273,0,0,4390.061,1.179,1.112,32.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8478242,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,,,,,,,
TON,Oceania,Tonga,2022/6/15,11909,0,0,12,0,0,111550.314,0,0,112.403,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106759,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,,,,,,,
TTO,North America,Trinidad and Tobago,2022/6/15,165144,194,233.857,3968,1,2.571,117676.4,138.238,166.639,2827.472,0.713,1.832,,,,,,,,,,,,,,,,,,,1568606,750641,713210,162046,306,297,111.77,53.49,50.82,11.55,212,57,0.004,,1403374,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796,,,,,,,
TUN,Africa,Tunisia,2022/6/15,1044426,,,28655,0,1,87503.908,,,2400.768,0,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,,,
TUR,Asia,Turkey,2022/6/15,15085742,,,98996,,,177390.13,,,1164.074,,,,,,,,,,,,,,,,,,,,,147789639,57852170,53079737,36857732,4050,3699,173.78,68.03,62.42,43.34,43,586,0.001,,85042736,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,,,,
TCA,North America,Turks and Caicos Islands,2022/6/15,6189,29,4.143,36,0,0,157778.004,739.306,105.615,917.759,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39226,37.312,,,,,,,,,,,,80.22,,,,,,,,
UGA,Africa,Uganda,2022/6/15,166497,119,99.143,3605,0,0.429,3533.203,2.525,2.104,76.501,0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,,,
UKR,Europe,Ukraine,2022/6/15,5040518,0,0,112459,0,0,115962.423,0,0,2587.238,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43466822,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,,,,,,
ARE,Asia,United Arab Emirates,2022/6/15,921566,1395,1230.429,2305,0,0,92238.849,139.625,123.153,230.706,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9991083,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,
GBR,Europe,United Kingdom,2022/6/15,22525174,25557,12213.286,179587,48,46.857,330246.695,374.697,179.062,2632.966,0.704,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932,,,,,,,
USA,North America,United States,2022/6/15,85941735,183097,102448.286,1012607,682,294.143,258149.125,549.981,307.731,3041.638,2.049,0.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,,,
OWID_UMC,,Upper middle income,2022/6/15,130346803,96859,72866.857,2527325,517,346.429,51855.12,38.533,28.988,1005.431,0.206,0.138,,,,,,,,,,,,,,,,,,,5198644409,2070082318,1958940768,1132236169,,,206.81,82.35,77.93,45.04,,,,,2513672790,,,,,,,,,,,,,,,,,,,,,
URY,South America,Uruguay,2022/6/15,943877,,,7290,,,270828.073,,,2091.731,,,,,,,,,,,,,,,,,,,,,8561243,2995204,2882979,2683060,13491,9006,245.65,85.94,82.72,76.99,2584,148,0.004,,3485152,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817,,,,,,,
UZB,Asia,Uzbekistan,2022/6/15,239319,39,22.857,1637,0,0,7052.117,1.149,0.674,48.238,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33935765,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,,,,
VUT,Oceania,Vanuatu,2022/6/15,10757,62,59.857,14,0,0,34207.413,197.161,190.347,44.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314464,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,,,,,,,
VAT,Europe,Vatican,2022/6/15,29,0,0,,,,35714.286,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,,,,,,,,,,,,,75.12,,,,,,,,
VEN,South America,Venezuela,2022/6/15,524370,49,57.286,5724,0,0.286,18267.583,1.707,1.996,199.408,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28704947,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,,,,,,,
VNM,Asia,Vietnam,2022/6/15,10734151,866,890.429,43083,0,0.286,109343.782,8.822,9.07,438.866,0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,,,,,,
WLF,Oceania,Wallis and Futuna,2022/6/15,454,0,0,7,0,0,40923.021,0,0,630.972,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094,,,,,,,,,,,,,79.94,,,,,,,,
OWID_WRL,,World,2022/6/15,537353020,714687,524556,6314405,2028,1358.714,68235.601,90.754,66.611,801.833,0.258,0.173,,,,,,,,,,,,,,,,,,,11962781283,5214250121,4767401752,2059080008,,,151.91,66.21,60.54,26.15,,,,,7874965730,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,,,,,,,
YEM,Asia,Yemen,2022/6/15,11822,0,0,2149,0,0,387.726,0,0,70.481,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30490639,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,,,,,,,
ZMB,Africa,Zambia,2022/6/15,323654,317,123.429,3990,1,0.286,17105.854,16.754,6.523,210.881,0.053,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18920657,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584,,,,,,,
ZWE,Africa,Zimbabwe,2022/6/15,254387,232,86.857,5525,4,1.429,16855.56,15.372,5.755,366.084,0.265,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,,,
