iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,,,
BIH,Europe,Bosnia and Herzegovina,2022/6/15,378168,56,16.286,15796,1,0.714,115879.501,17.16,4.99,4840.263,0.306,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93,3263459,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,,,,
BWA,Africa,Botswana,2022/6/15,314242,,,2709,0,1.143,131084.914,,,1130.05,0,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397240,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,,,,
BRA,South America,Brazil,2022/6/15,31611769,70290,42284.571,668693,339,149.429,147723.074,328.468,197.598,3124.829,1.584,0.698,,,,,,,,,,,,,,,,,,,448567375,184337124,168140833,101388985,332765,495758,209.62,86.14,78.57,47.38,2317,26677,0.012,,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,,,
VGB,North America,British Virgin Islands,2022/6/15,6941,39,25.143,63,0,0.143,228149.755,1281.925,826.442,2070.802,0,4.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30423,207.973,,,,,,,13.67,,,,,79.07,,,,,,,,
BRN,Asia,Brunei,2022/6/15,154133,,,225,0,0.143,349086.816,,,509.589,0,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441532,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,,,,
BGR,Europe,Bulgaria,2022/6/15,1167466,152,141.429,37210,4,3.143,169280.035,22.04,20.507,5395.369,0.58,0.456,,,,,,,,,,,,,,,,,,,4403915,,2060741,761456,447,289,63.86,,29.88,11.04,42,,,,6896655,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,,,,
BFA,Africa,Burkina Faso,2022/6/15,20899,0,0,384,0,0,972.178,0,0,17.863,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497097,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,,,,
BDI,Africa,Burundi,2022/6/15,42330,0,11.714,38,0,0,3453.979,0,0.956,3.101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12255429,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,,,,
KHM,Asia,Cambodia,2022/6/15,136262,0,0,3056,0,0,8040.742,0,0,180.333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16946446,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594,,,,,,,
CMR,Africa,Cameroon,2022/6/15,119947,0,0,1930,0,0,4405.886,0,0,70.893,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,,,,
CAN,North America,Canada,2022/6/15,3920570,2320,2084.571,41646,42,33.857,102988.835,60.944,54.759,1093.992,1.103,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,,,,
